id,title,rank,tags
1,LED Frieze for kunst Museum Basel,5,Media Facade
2,Trainstation Falkenberg,4,Light Architecture
3,The energy tower facade lighting,4,Light Architecture
4,Luanda Sports Pavillion,4,Light Architecture
5,Reactive-responsive fountain,5.5,Installation
6,"Fallen leaves ""shalekhet""",5.5,Installation
7,Sonnen Garten,6,Installation
8,Star,3,Installation
9,Walk of Stars,5.5,Installation
10,Klubhaus St.Pauli,3.5,Media Facade
11,Light Walk,6,Installation
12,(We are) Light Catchers ,5,Installation
13,Al Bahar Towers,4,Kinetic Facade
14,Balls!,5.5,Installation
15,Megafaces,5,Kinetic Facade
16,Georg II – The Mysterious Theater-Machine,6,Projection Mapping
17,Hommage/Collage,3.5,Projection Mapping
18,BIX/ Kunsthaus Graz,4,Media Facade
19,Super Mario Bros,4.5,Game
20,Automated Door,6,Element
21,Blinkenlights,6,Media Facade
22,Megaphone,4.5,Game
23,SMSslingshot,5,Projection Mapping
24,Arab world Institute,4.5,Kinetic Facade
25,BE AWARE,5,Game
